account_id,account_type,snapshot_date,employee_count,industry,intent_score,mql_count_90d,trial_started,trial_active_users,web_touchpoints_90d,sales_contacts_90d,conversion_probability,rank,priority
ACC-01491,Prospect,2025-10-15,188,Retail,33.2,1,1,3,0,5,0.20939284337910957,1,HIGH
ACC-00371,Former Customer,2025-11-18,22,Financial Services,63.9,4,1,2,8,2,0.20447911195127122,2,HIGH
ACC-01064,Prospect,2026-04-29,57,Retail,61.7,1,1,1,0,5,0.18692811910966461,3,HIGH
ACC-01283,Suspect,2026-04-01,50,Retail,61.2,0,0,0,3,4,0.17568190948014833,4,HIGH
ACC-01111,Suspect,2026-04-14,44,Manufacturing,58.3,0,1,2,4,3,0.15271838779534944,5,HIGH
ACC-00400,Suspect,2026-05-07,109,Software,24.2,1,0,0,0,4,0.1521825408659366,6,HIGH
ACC-00646,Prospect,2025-11-02,637,Manufacturing,,2,0,0,3,6,0.14821040002222632,8,HIGH
ACC-00122,Prospect,2026-06-24,698,Manufacturing,,0,0,0,5,6,0.14821040002222632,7,HIGH
ACC-00657,Prospect,2025-09-30,562,Financial Services,24.2,4,0,0,8,0,0.1438323978781758,9,HIGH
ACC-00232,Prospect,2026-06-03,301,Retail,23.6,1,1,3,0,1,0.14083021469325982,10,HIGH
ACC-00065,Suspect,2025-11-14,42,Healthcare,8.1,0,1,0,13,1,0.13663723152019602,11,HIGH
ACC-00966,Prospect,2026-01-06,74,Retail,51.6,4,0,0,8,0,0.13351038899325318,12,HIGH
ACC-00205,Suspect,2025-06-08,243,Retail,63.3,2,0,0,5,1,0.12890521444477065,13,HIGH
ACC-00265,Suspect,2026-04-30,133,Professional Services,,0,1,0,0,5,0.1221454673454665,14,HIGH
ACC-00533,Prospect,2026-07-19,65,Manufacturing,63.0,1,0,0,7,0,0.12194066100490668,15,HIGH
ACC-00146,Prospect,2026-01-21,62,Manufacturing,4.4,0,1,0,3,5,0.1216575438564018,16,HIGH
ACC-01382,Prospect,2025-08-31,127,Healthcare,23.9,0,0,0,2,4,0.11601435870713352,17,HIGH
ACC-01019,Prospect,2026-03-24,29,Manufacturing,7.7,5,0,0,0,4,0.11588595292577854,18,HIGH
ACC-01155,Prospect,2026-07-02,85,Retail,23.5,4,0,0,1,7,0.11569926762188526,19,HIGH
ACC-00728,Prospect,2026-05-20,32,Software,8.9,0,0,0,10,0,0.11565648147974573,20,HIGH
ACC-01129,Prospect,2026-03-28,76,Manufacturing,77.5,1,0,0,5,0,0.11346219942801375,21,HIGH
ACC-00100,Suspect,2026-04-29,16,Software,41.9,1,0,0,12,1,0.1129228980876828,22,HIGH
ACC-00958,Former Customer,2025-06-18,106,Manufacturing,,0,0,0,0,5,0.11189924570400157,23,HIGH
ACC-01339,Prospect,2025-12-04,42,Healthcare,70.1,0,0,0,3,0,0.11189756550402111,24,HIGH
ACC-00686,Prospect,2026-03-11,46,Professional Services,,0,1,3,1,6,0.11125287722673867,25,HIGH
ACC-00832,Prospect,2026-06-10,52,Manufacturing,14.6,0,0,0,0,5,0.11024819159307937,26,HIGH
ACC-01496,Former Customer,2026-04-10,277,Retail,38.3,2,0,0,13,0,0.10931789419099344,27,HIGH
ACC-00768,Prospect,2025-12-31,69,Manufacturing,,0,1,0,14,1,0.1093010022519275,28,HIGH
ACC-01102,Prospect,2026-04-27,29,Professional Services,42.5,1,0,0,10,1,0.1078369450269747,29,HIGH
ACC-00101,Former Customer,2026-03-14,30,Manufacturing,45.6,2,0,0,0,6,0.10684008407039038,30,HIGH
ACC-00175,Former Customer,2026-04-25,317,Professional Services,24.6,0,0,0,0,4,0.10628786068898244,31,HIGH
ACC-00260,Prospect,2025-05-31,85,Financial Services,30.8,0,0,0,12,6,0.1061160830407632,32,HIGH
ACC-00506,Suspect,2026-07-12,16,Software,51.8,0,0,0,0,7,0.10604810116440141,33,HIGH
ACC-00076,Suspect,2026-05-06,149,Financial Services,34.6,0,1,0,9,0,0.10311322001047164,34,HIGH
ACC-00935,Suspect,2025-12-10,218,Manufacturing,,0,0,0,2,5,0.10240259693077054,35,HIGH
ACC-00802,Prospect,2026-04-10,150,Software,50.7,2,1,0,5,0,0.10216062385316477,36,HIGH
ACC-00828,Prospect,2026-06-02,23,Healthcare,38.8,1,0,0,0,5,0.10121894180391575,37,HIGH
ACC-00527,Suspect,2025-08-23,107,Retail,30.7,3,0,0,0,5,0.09929880086327554,38,HIGH
ACC-01415,Prospect,2025-05-21,143,Professional Services,,0,1,0,5,9,0.0978322737413732,39,HIGH
ACC-00730,Suspect,2025-10-03,16,Financial Services,41.2,3,0,0,10,1,0.09757081236463522,40,HIGH
ACC-00873,Prospect,2026-01-02,29,Professional Services,,0,0,0,11,2,0.09678499033697469,41,HIGH
ACC-01493,Prospect,2026-05-02,87,Healthcare,40.7,0,0,0,10,1,0.09569658236626725,42,HIGH
ACC-00570,Prospect,2026-04-18,28,Manufacturing,,0,0,0,0,5,0.09539632839806324,43,HIGH
ACC-01471,Former Customer,2026-07-03,83,Professional Services,45.7,1,0,0,9,0,0.0950813307224932,44,HIGH
ACC-00915,Prospect,2026-04-19,93,Retail,43.7,1,0,0,3,6,0.09501886788438467,45,HIGH
ACC-01021,Prospect,2025-10-15,135,Retail,39.3,0,0,0,8,1,0.09493761786388119,46,HIGH
ACC-00082,Prospect,2026-05-12,50,Professional Services,53.3,0,0,0,0,4,0.09421547420149011,47,HIGH
ACC-00758,Suspect,2026-05-31,9,Professional Services,,0,0,0,9,0,0.09410274838523044,48,HIGH
ACC-00183,Prospect,2025-05-11,29,Retail,67.8,5,0,0,0,0,0.09390799678253296,49,HIGH
ACC-01386,Suspect,2025-08-11,60,Healthcare,36.3,0,0,0,9,0,0.0934513979973762,50,HIGH
ACC-00421,Suspect,2025-11-25,88,Software,30.1,2,0,0,0,4,0.09226289219416876,51,HIGH
ACC-01128,Suspect,2026-03-11,20,Retail,,0,1,5,0,1,0.09209820670381863,52,HIGH
ACC-00962,Prospect,2025-09-14,90,Software,57.9,0,1,3,1,0,0.09170971703162659,53,HIGH
ACC-00787,Former Customer,2026-04-04,62,Manufacturing,53.2,3,1,5,0,0,0.0906834440762641,54,HIGH
ACC-00391,Former Customer,2026-03-04,81,Retail,,0,0,0,11,2,0.0893375356770386,55,HIGH
ACC-00839,Prospect,2026-04-11,48,Manufacturing,9.8,1,0,0,1,4,0.08920446052655882,56,HIGH
ACC-01394,Suspect,2026-05-12,61,Healthcare,,3,1,1,9,0,0.08826302031049164,57,HIGH
ACC-00042,Prospect,2024-11-22,191,Software,34.0,1,1,4,1,2,0.08824699546555363,58,HIGH
ACC-00525,Prospect,2026-05-04,14,Retail,27.6,1,1,3,4,1,0.08814372839602577,59,HIGH
ACC-00270,Suspect,2026-04-28,45,Financial Services,12.0,0,0,0,2,5,0.08755912602863473,60,HIGH
ACC-01326,Former Customer,2025-05-26,21,Retail,22.5,0,0,0,1,9,0.08733723282712451,61,LOW
ACC-00989,Suspect,2026-05-01,9,Professional Services,,3,0,0,9,0,0.08684647485124948,62,LOW
ACC-01008,Prospect,2026-05-14,30,Professional Services,,3,0,0,10,0,0.08684647485124948,63,LOW
ACC-01404,Suspect,2026-04-18,175,Software,,4,1,0,9,0,0.08423324074642272,64,LOW
ACC-01440,Prospect,2026-04-26,175,Manufacturing,7.6,4,0,0,8,0,0.08404799046149894,65,LOW
ACC-00690,Prospect,2026-05-18,30,Retail,,2,0,0,0,4,0.08355112935570029,66,LOW
ACC-01289,Prospect,2026-06-16,51,Financial Services,,1,0,0,0,4,0.08355112935570029,67,LOW
ACC-00200,Prospect,2026-04-07,47,Retail,43.7,0,1,3,6,0,0.08338605388980742,68,LOW
ACC-01429,Suspect,2026-06-24,80,Software,,1,1,1,3,5,0.08275530760158395,69,LOW
ACC-01043,Former Customer,2026-06-19,56,Software,14.3,3,0,0,10,0,0.08266988385239855,70,LOW
ACC-01334,Suspect,2025-10-24,111,Retail,55.0,1,0,0,0,0,0.0817544510698025,71,LOW
ACC-00233,Prospect,2026-02-21,102,Manufacturing,22.1,0,0,0,8,0,0.07996952485132165,72,LOW
ACC-00323,Prospect,2025-11-10,58,Healthcare,,4,0,0,9,4,0.07955427291334784,73,LOW
ACC-01411,Prospect,2026-05-24,52,Retail,22.3,2,0,0,8,1,0.07954199806076188,74,LOW
ACC-01475,Suspect,2026-06-13,107,Retail,41.7,0,1,1,5,2,0.07834794029739756,75,LOW
ACC-00718,Prospect,2025-12-20,25,Manufacturing,70.2,0,0,0,2,0,0.07784778767648638,76,LOW
ACC-00887,Prospect,2026-04-25,25,Manufacturing,58.1,2,0,0,0,3,0.07770539894494248,77,LOW
ACC-00414,Prospect,2026-04-18,14,Financial Services,,3,0,0,0,4,0.07757703759970261,78,LOW
ACC-01432,Suspect,2025-11-05,7,Retail,18.8,2,0,0,5,4,0.0775199048887803,79,LOW
ACC-00631,Prospect,2026-01-02,38,Software,,0,0,0,8,0,0.07656075349865814,80,LOW
ACC-00501,Suspect,2026-03-25,66,Financial Services,23.8,3,0,0,6,2,0.07643744130444104,81,LOW
ACC-01414,Prospect,2026-04-08,34,Manufacturing,23.5,2,0,0,0,2,0.07633136106572597,82,LOW
ACC-01100,Prospect,2026-05-22,357,Software,30.7,3,0,0,9,0,0.07562761093968497,83,LOW
ACC-00461,Suspect,2025-11-27,173,Professional Services,,5,0,0,10,0,0.07560638561495713,84,LOW
ACC-01179,Suspect,2026-05-04,672,Manufacturing,51.6,2,0,0,0,0,0.07558382401053483,85,LOW
ACC-00629,Prospect,2026-07-01,66,Retail,,2,0,0,9,0,0.07502559996471315,86,LOW
ACC-01333,Suspect,2026-04-23,26,Manufacturing,,4,0,0,0,4,0.07499235535523835,87,LOW
ACC-01157,Suspect,2026-03-24,125,Financial Services,13.3,2,1,3,6,0,0.0742399253387425,88,LOW
ACC-01214,Former Customer,2026-03-22,57,Software,,0,0,0,2,5,0.07353761696611616,89,LOW
ACC-00160,Suspect,2026-04-06,63,Professional Services,6.9,0,0,0,8,3,0.07323581038377505,90,LOW
ACC-00700,Suspect,2026-03-21,5,Professional Services,,0,0,0,8,0,0.07297778957086677,91,LOW
ACC-00492,Suspect,2026-08-01,559,Retail,,0,1,2,6,3,0.07238862700438785,92,LOW
ACC-00431,Prospect,2026-05-20,25,Manufacturing,,1,0,0,6,6,0.07158461603440144,93,LOW
ACC-01416,Prospect,2026-01-24,111,Professional Services,30.5,2,0,0,7,4,0.07104518709883523,94,LOW
ACC-00285,Suspect,2026-03-11,140,Professional Services,36.6,3,1,3,4,0,0.0706729493953822,95,LOW
ACC-00735,Prospect,2025-08-16,103,Financial Services,,4,0,0,1,6,0.07056994818026825,96,LOW
ACC-00581,Suspect,2026-03-17,25,Software,,0,0,0,5,5,0.07055151330668906,97,LOW
ACC-00398,Suspect,2026-03-25,96,Manufacturing,,1,1,3,4,0,0.07033695634946249,98,LOW
ACC-00041,Prospect,2026-03-31,122,Professional Services,12.1,0,1,1,3,3,0.07006174329264118,99,LOW
ACC-00112,Prospect,2026-05-12,145,Financial Services,15.0,4,0,0,2,4,0.06979299013168544,100,LOW
